image_id;irma_code;05_class;05_irma_code_submask;06_class;06_irma_code;07_irma_code;08_irma_code
9105;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9106;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9107;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9108;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9110;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9111;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9112;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9113;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9114;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9115;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9116;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9117;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9119;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9120;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9121;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9122;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9123;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9124;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9125;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9126;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9127;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9128;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9129;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9131;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9132;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9133;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9134;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9135;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9136;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9137;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9138;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9139;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9140;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9141;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9142;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9143;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9144;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9145;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9146;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9147;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9148;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9149;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9150;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9151;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9153;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9154;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9155;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9156;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9157;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9158;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9159;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9160;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9161;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9162;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9163;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9165;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9166;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9167;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9169;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9170;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9171;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9172;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9173;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9174;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9175;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9176;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9177;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9178;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9179;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9180;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9181;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9182;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9183;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9185;1121-240-413-700;19;11-2-41-7;79;1121-240-413-700;1121-240-413-700;1121-240-413-700
9187;1121-4a0-414-700;29;11-4-41-7;28;1121-4a0-414-700;1121-4a0-414-700;1121-4a0-414-700
9189;1121-230-414-700;19;11-2-41-7;\N;\N;\N;1121-230-414-700
9190;1121-4a0-414-700;29;11-4-41-7;28;1121-4a0-414-700;1121-4a0-414-700;1121-4a0-414-700
9191;1121-4a0-414-700;29;11-4-41-7;28;1121-4a0-414-700;1121-4a0-414-700;1121-4a0-414-700
9192;1121-120-422-700;25;11-1-42-7;39;1121-120-422-700;1121-120-422-700;1121-120-422-700
9198;1121-4a0-414-700;29;11-4-41-7;28;1121-4a0-414-700;1121-4a0-414-700;1121-4a0-414-700
9201;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9202;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9203;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9204;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9205;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9206;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9207;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9208;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9209;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9210;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9211;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9212;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9213;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9214;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9215;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9216;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9217;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9218;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9219;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9220;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9221;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9222;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9223;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9224;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9225;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9227;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9229;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9230;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9231;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9232;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9233;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9234;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9235;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9236;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9237;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9238;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9239;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9240;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9241;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9242;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9244;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9245;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9246;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9247;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9248;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9249;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9250;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9251;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9252;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9253;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9254;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9255;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9256;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9257;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9258;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9259;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9260;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9261;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9262;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9263;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9264;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9265;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9266;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9267;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9268;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9269;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9270;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9271;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9272;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9273;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9274;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9275;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9277;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9278;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9279;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9280;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9281;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9282;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9284;1124-410-620-625;36;11-4-62-6;33;1124-410-620-625;1124-410-620-625;1124-410-620-625
9285;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9286;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9287;1124-310-610-625;39;11-3-61-6;38;1124-310-610-625;1124-310-610-625;1124-310-610-625
9288;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9289;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9290;1124-310-620-625;37;11-3-62-6;35;1124-310-620-625;1124-310-620-625;1124-310-620-625
9291;1124-410-610-625;38;11-4-61-6;36;1124-410-610-625;1124-410-610-625;1124-410-610-625
9295;1121-220-320-700;21;11-2-32-7;\N;\N;\N;1121-220-320-700
9301;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9303;1121-120-962-700;23;11-1-96-7;40;1121-120-962-700;1121-120-962-700;1121-120-962-700
9304;1121-120-962-700;23;11-1-96-7;40;1121-120-962-700;1121-120-962-700;1121-120-962-700
9305;1121-116-917-700;6;11-1-91-7;90;1121-116-917-700;1121-116-917-700;1121-116-917-700
9314;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
9315;1121-117-731-443;\N;\N;\N;\N;\N;1121-117-731-443
9316;1121-117-731-443;\N;\N;\N;\N;\N;1121-117-731-443
9317;1121-117-731-443;\N;\N;\N;\N;\N;1121-117-731-443
9318;1121-117-731-443;\N;\N;\N;\N;\N;1121-117-731-443
9319;1121-117-731-443;\N;\N;\N;\N;\N;1121-117-731-443
9320;1121-117-731-443;\N;\N;\N;\N;\N;1121-117-731-443
9321;1121-120-514-700;20;11-1-51-7;71;1121-120-514-700;1121-120-514-700;1121-120-514-700
9322;1121-210-230-700;5;11-2-23-7;12;1121-210-230-700;1121-210-230-700;1121-210-230-700
9323;1121-220-230-700;5;11-2-23-7;10;1121-220-230-700;1121-220-230-700;1121-220-230-700
9324;1121-210-230-700;5;11-2-23-7;12;1121-210-230-700;1121-210-230-700;1121-210-230-700
9325;1121-220-230-700;5;11-2-23-7;10;1121-220-230-700;1121-220-230-700;1121-220-230-700
9326;1121-220-230-700;5;11-2-23-7;10;1121-220-230-700;1121-220-230-700;1121-220-230-700
9327;1121-210-230-700;5;11-2-23-7;12;1121-210-230-700;1121-210-230-700;1121-210-230-700
9328;1121-210-230-700;5;11-2-23-7;12;1121-210-230-700;1121-210-230-700;1121-210-230-700
9330;1121-120-438-700;35;11-1-43-7;104;1121-120-438-700;1121-120-438-700;1121-120-438-700
9331;1121-120-438-700;35;11-1-43-7;104;1121-120-438-700;1121-120-438-700;1121-120-438-700
9332;1121-120-433-700;35;11-1-43-7;69;1121-120-433-700;1121-120-433-700;1121-120-433-700
9333;1121-120-434-700;35;11-1-43-7;84;1121-120-434-700;1121-120-434-700;1121-120-434-700
9334;1121-120-434-700;35;11-1-43-7;84;1121-120-434-700;1121-120-434-700;1121-120-434-700
9337;1121-120-437-700;35;11-1-43-7;100;1121-120-437-700;1121-120-437-700;1121-120-437-700
9338;1121-120-438-700;35;11-1-43-7;104;1121-120-438-700;1121-120-438-700;1121-120-438-700
9339;1121-120-437-700;35;11-1-43-7;100;1121-120-437-700;1121-120-437-700;1121-120-437-700
9340;1121-240-438-700;31;11-2-43-7;107;1121-240-438-700;1121-240-438-700;1121-240-438-700
9341;1121-240-437-700;31;11-2-43-7;80;1121-240-437-700;1121-240-437-700;1121-240-437-700
9342;1121-240-433-700;31;11-2-43-7;66;1121-240-433-700;1121-240-433-700;1121-240-433-700
9343;1121-240-434-700;31;11-2-43-7;75;1121-240-434-700;1121-240-434-700;1121-240-434-700
9344;1121-240-434-700;31;11-2-43-7;75;1121-240-434-700;1121-240-434-700;1121-240-434-700
9345;1121-240-437-700;31;11-2-43-7;80;1121-240-437-700;1121-240-437-700;1121-240-437-700
9347;1121-240-437-700;31;11-2-43-7;80;1121-240-437-700;1121-240-437-700;1121-240-437-700
9348;1121-240-438-700;31;11-2-43-7;107;1121-240-438-700;1121-240-438-700;1121-240-438-700
9349;1121-240-437-700;31;11-2-43-7;80;1121-240-437-700;1121-240-437-700;1121-240-437-700
9350;1121-240-437-700;31;11-2-43-7;80;1121-240-437-700;1121-240-437-700;1121-240-437-700
9352;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
9353;1121-240-421-700;24;11-2-42-7;43;1121-240-421-700;1121-240-421-700;1121-240-421-700
9354;1121-240-422-700;24;11-2-42-7;46;1121-240-422-700;1121-240-422-700;1121-240-422-700
9355;1121-240-422-700;24;11-2-42-7;46;1121-240-422-700;1121-240-422-700;1121-240-422-700
9356;1121-240-421-700;24;11-2-42-7;43;1121-240-421-700;1121-240-421-700;1121-240-421-700
9357;1121-240-421-700;24;11-2-42-7;43;1121-240-421-700;1121-240-421-700;1121-240-421-700
9358;1121-240-442-700;28;11-2-44-7;53;1121-240-442-700;1121-240-442-700;1121-240-442-700
9359;1121-240-441-700;28;11-2-44-7;41;1121-240-441-700;1121-240-441-700;1121-240-441-700
9360;1121-240-441-700;28;11-2-44-7;41;1121-240-441-700;1121-240-441-700;1121-240-441-700
9361;1121-230-962-700;33;11-2-96-7;60;1121-230-962-700;1121-230-962-700;1121-230-962-700
9363;1121-230-463-700;32;11-2-46-7;45;1121-230-463-700;1121-230-463-700;1121-230-463-700
9364;1121-230-462-700;32;11-2-46-7;70;1121-230-462-700;1121-230-462-700;1121-230-462-700
9365;1121-110-415-700;3;11-1-41-7;81;1121-110-415-700;1121-110-415-700;1121-110-415-700
9366;1121-110-415-700;3;11-1-41-7;81;1121-110-415-700;1121-110-415-700;1121-110-415-700
9367;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
9368;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
9369;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
9370;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
9371;1121-120-441-700;27;11-1-44-7;44;1121-120-441-700;1121-120-441-700;1121-120-441-700
9373;1121-120-441-700;27;11-1-44-7;44;1121-120-441-700;1121-120-441-700;1121-120-441-700
9374;1121-120-441-700;27;11-1-44-7;44;1121-120-441-700;1121-120-441-700;1121-120-441-700
9375;1121-120-441-700;27;11-1-44-7;44;1121-120-441-700;1121-120-441-700;1121-120-441-700
9377;1121-120-800-700;12;11-1-80-7;7;1121-120-800-700;1121-120-800-700;1121-120-800-700
9378;1121-120-800-700;12;11-1-80-7;7;1121-120-800-700;1121-120-800-700;1121-120-800-700
9382;1121-120-919-700;6;11-1-91-7;82;1121-120-919-700;1121-120-919-700;1121-120-919-700
9383;1121-120-915-700;6;11-1-91-7;31;1121-120-915-700;1121-120-915-700;1121-120-915-700
9384;1121-120-915-700;6;11-1-91-7;31;1121-120-915-700;1121-120-915-700;1121-120-915-700
9385;1121-120-915-700;6;11-1-91-7;31;1121-120-915-700;1121-120-915-700;1121-120-915-700
9386;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9387;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9388;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9389;1121-120-915-700;6;11-1-91-7;31;1121-120-915-700;1121-120-915-700;1121-120-915-700
9390;1121-120-915-700;6;11-1-91-7;31;1121-120-915-700;1121-120-915-700;1121-120-915-700
9391;1121-120-915-700;6;11-1-91-7;31;1121-120-915-700;1121-120-915-700;1121-120-915-700
9392;1121-120-915-700;6;11-1-91-7;31;1121-120-915-700;1121-120-915-700;1121-120-915-700
9393;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9394;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9395;1121-120-915-700;6;11-1-91-7;31;1121-120-915-700;1121-120-915-700;1121-120-915-700
9396;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9397;1121-120-915-700;6;11-1-91-7;31;1121-120-915-700;1121-120-915-700;1121-120-915-700
9398;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9399;1121-120-915-700;6;11-1-91-7;31;1121-120-915-700;1121-120-915-700;1121-120-915-700
9400;1121-120-919-700;6;11-1-91-7;82;1121-120-919-700;1121-120-919-700;1121-120-919-700
9401;1121-120-919-700;6;11-1-91-7;82;1121-120-919-700;1121-120-919-700;1121-120-919-700
9402;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9403;1121-120-915-700;6;11-1-91-7;31;1121-120-915-700;1121-120-915-700;1121-120-915-700
9404;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9405;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9406;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9407;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9408;1121-120-915-700;6;11-1-91-7;31;1121-120-915-700;1121-120-915-700;1121-120-915-700
9409;1121-120-914-700;6;11-1-91-7;34;1121-120-914-700;1121-120-914-700;1121-120-914-700
9410;1121-120-919-700;6;11-1-91-7;82;1121-120-919-700;1121-120-919-700;1121-120-919-700
9411;1121-120-919-700;6;11-1-91-7;82;1121-120-919-700;1121-120-919-700;1121-120-919-700
9413;1121-210-320-700;21;11-2-32-7;15;1121-210-320-700;1121-210-320-700;1121-210-320-700
9414;1121-210-320-700;21;11-2-32-7;15;1121-210-320-700;1121-210-320-700;1121-210-320-700
9415;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
9418;1121-320-941-700;30;11-3-94-7;22;1121-320-941-700;1121-320-941-700;1121-320-941-700
9419;1121-320-941-700;30;11-3-94-7;22;1121-320-941-700;1121-320-941-700;1121-320-941-700
9420;1121-320-941-700;30;11-3-94-7;22;1121-320-941-700;1121-320-941-700;1121-320-941-700
9424;1121-120-919-700;6;11-1-91-7;82;1121-120-919-700;1121-120-919-700;1121-120-919-700
9425;1121-120-919-700;6;11-1-91-7;82;1121-120-919-700;1121-120-919-700;1121-120-919-700
9426;1121-120-911-700;6;11-1-91-7;42;1121-120-911-700;1121-120-911-700;1121-120-911-700
9427;1121-120-911-700;6;11-1-91-7;42;1121-120-911-700;1121-120-911-700;1121-120-911-700
9433;1121-490-412-700;29;11-4-41-7;\N;\N;\N;1121-490-412-700
9434;1123-211-500-000;2;11-2-50-0;3;1123-211-500-000;1123-211-500-000;1123-211-500-000
9435;1123-211-500-000;2;11-2-50-0;3;1123-211-500-000;1123-211-500-000;1123-211-500-000
9436;1123-211-500-000;2;11-2-50-0;3;1123-211-500-000;1123-211-500-000;1123-211-500-000
9437;1123-211-500-000;2;11-2-50-0;3;1123-211-500-000;1123-211-500-000;1123-211-500-000
9443;1121-240-442-700;28;11-2-44-7;53;1121-240-442-700;1121-240-442-700;1121-240-442-700
9445;1121-120-422-700;25;11-1-42-7;39;1121-120-422-700;1121-120-422-700;1121-120-422-700
